Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Associato confermato,CIRLINCIONE Leonardo,M,PALERMO,Scienze Matematiche Fisiche e Naturali,MAT/03,,Non disponibile,2001,01 - Scienze matematiche e informatiche
Associato non confermato,CIRMI Giuseppa Rita,F,CATANIA,Scienze Matematiche Fisiche e Naturali,MAT/05,,MATEMATICA E INFORMATICA,2001,01 - Scienze matematiche e informatiche
Ordinario,CITRINI Claudio,M,Politecnico di MILANO,Ingegneria,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CITRINI Laura,F,MILANO,Scienze Matematiche Fisiche e Naturali,MAT/03,,TECNOLOGIE DELL'INFORMAZIONE,2001,01 - Scienze matematiche e informatiche
Straordinario,CITTI Giovanna,F,BOLOGNA,Ingegneria,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CIUFFOLETTI Augusto,M,PISA,Scienze Matematiche Fisiche e Naturali,INF/01,,INFORMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CLAUDI Stefania,F,L'AQUILA,Ingegneria,MAT/05,,MATEMATICA PURA E APPLICATA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CLEMENTI Andrea,M,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,INF/01,,INGEGNERIA DELL'IMPRESA,2001,01 - Scienze matematiche e informatiche
Associato confermato,COCCO Nicoletta,F,"""Ca' Foscari"" VENEZIA",Scienze Matematiche Fisiche e Naturali,INF/01,,"SCIENZE AMBIENTALI, INFORMATICA E STATISTICA",2001,01 - Scienze matematiche e informatiche
Ordinario,COCLITE Mario,M,BARI,Scienze Biotecnologiche,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CODECA' Paolo,M,FERRARA,Ingegneria,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CODEGONE Marco,M,Politecnico di TORINO,Ingegneria,MAT/05,,SCIENZE MATEMATICHE,2001,01 - Scienze matematiche e informatiche
Ordinario,COEN Salvatore,M,BOLOGNA,Scienze Matematiche Fisiche e Naturali,MAT/03,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Straordinario,COGNOME Nome,F,PADOVA,Scienze Matematiche Fisiche e Naturali,INF/01,,"SCIENZE POLITICHE, GIURIDICHE E STUDI INTERNAZIONALI SPGI",2001,01 - Scienze matematiche e informatiche
Associato confermato,COLAPS Gennaro,M,Napoli Federico II,Scienze Matematiche Fisiche e Naturali,MAT/03,,Non disponibile,2001,01 - Scienze matematiche e informatiche
Associato non confermato,COLESANTI Andrea,M,FIRENZE,Scienze Matematiche Fisiche e Naturali,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ordinario,COLETTI Giulianella,F,PERUGIA,Scienze Matematiche Fisiche e Naturali,MAT/06,,MATEMATICA E INFORMATICA,2001,01 - Scienze matematiche e informatiche
Assistente r.e.,COLIZZA Marino,M,TRIESTE,Scienze Matematiche Fisiche e Naturali,MAT/03,,SCIENZE MATEMATICHE,2001,01 - Scienze matematiche e informatiche
Assistente r.e.,COLLAUTO Lucio,M,PADOVA,Scienze Matematiche Fisiche e Naturali,MAT/05,,MATEMATICA PURA E APPLICATA,2001,01 - Scienze matematiche e informatiche
Ordinario,COLLI Pierluigi,M,PAVIA,Scienze Matematiche Fisiche e Naturali,MAT/05,,MATEMATICA 'FELICE CASORATI',2001,01 - Scienze matematiche e informatiche
Ordinario,COLLI FRANZONE Piero,M,PAVIA,Ingegneria,MAT/08,,MATEMATICA 'FELICE CASORATI',2001,01 - Scienze matematiche e informatiche
Ricercatore,COLLINI Tiziana,F,Politecnico di MILANO,Architettura,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ordinario,COLLINO Alberto,M,TORINO,Scienze Matematiche Fisiche e Naturali,MAT/03,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ordinario,COLOMBINI Ferruccio,M,PISA,Scienze Matematiche Fisiche e Naturali,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Associato non confermato,COLOMBO Elisabetta,F,MILANO,Scienze Matematiche Fisiche e Naturali,MAT/03,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore non confermato,COLOMBO Fabrizio,M,Politecnico di MILANO,Ingegneria IV,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
