Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ordinario,MARLETTA Lucia Maria Rita,F,CATANIA,Scienze Politiche,IUS/13,12/E1,ANALISI DEI PROCESSI POLITICI SOCIALI ED ISTITUZIONALI,2011,12 - Scienze giuridiche
Ricercatore,MARONE Francesco,M,Suor Orsola Benincasa - NAPOLI,Giurisprudenza,IUS/08,12/C1,ISTITUTO UNIVERSITARIO SUOR ORSOLA BENINCASA,2011,12 - Scienze giuridiche
Ricercatore non confermato,MARONGIU Daniele,M,CAGLIARI,Scienze Politiche,IUS/10,12/D1,DIRITTO PUBBLICO E DI STUDI SOCIALI,2011,12 - Scienze giuridiche
Ricercatore,MARONGIU BUONAIUTI Fabrizio,M,"ROMA ""La Sapienza""",Giurisprudenza (*),IUS/13,12/E1,DIRITTO INTERNAZIONALE E DELL'UNIONE EUROPEA,2011,12 - Scienze giuridiche
Associato confermato,MAROTTA Egidio,M,ROMA TRE,Economia,IUS/09,12/C1,ECONOMIA,2011,12 - Scienze giuridiche
Ricercatore,MAROTTA Giovanna,F,SALERNO,Economia,IUS/09,12/C1,STUDI SULL'AMBIENTE E SUL TERRITORIO,2011,12 - Scienze giuridiche
Ordinario,MAROTTA Valerio,M,PAVIA,Giurisprudenza,IUS/18,12/H1,GIURISPRUDENZA,2011,12 - Scienze giuridiche
Associato confermato,MAROTTOLI Pasquale,M,MACERATA,Giurisprudenza,IUS/18,12/H1,DIRITTO ROMANO,2011,12 - Scienze giuridiche
Ricercatore,MARPILLERO Marco,M,UDINE,,IUS/09,12/C1,Scienze Giuridiche,2011,12 - Scienze giuridiche
Ricercatore,MARRA Alfredo,M,MILANO-BICOCCA,Giurisprudenza,IUS/10,12/D1,GIURIDICO DELLE ISTITUZIONI NAZIONALI ED EUROPEE,2011,12 - Scienze giuridiche
Associato confermato,MARRA Gabriele,M,Urbino Carlo Bo,Giurisprudenza,IUS/17,12/G1,"SCIENZE GIURIDICHE ""COLLEGIO DEI DOTTORI 1506""",2011,12 - Scienze giuridiche
Ordinario,MARRA Realino Eugenio,M,GENOVA,Giurisprudenza,IUS/20,12/H3,SCIENZE GIURIDICHE,2011,12 - Scienze giuridiche
Associato confermato,MARRAMA Daniele,M,SALENTO,Giurisprudenza,IUS/10,12/D1,STUDI GIURIDICI,2011,12 - Scienze giuridiche
Ricercatore non confermato,MARRANI Daniela,F,SALERNO,Economia,IUS/13,12/E1,SCIENZE ECONOMICHE E STATISTICHE/DISES,2011,12 - Scienze giuridiche
Associato confermato,MARRELLA Fabrizio,M,"""Ca' Foscari"" VENEZIA",,IUS/13,12/E1,Economia,2011,12 - Scienze giuridiche
